Year,Make,Model,Trim,Base Curb Weight (lbs)

2019,Acura,RDX,FWD w/TechnologyPkg,3790
2019,Acura,RDX,FWD w/AdvancePkg,3829
2019,Acura,RDX,FWD w/A-SpecPkg,3821
2019,Acura,RDX,FWD,3783
2019,Acura,RDX,AWD w/TechnologyPkg,4026
2019,Acura,RDX,AWD w/AdvancePkg,4068
2019,Acura,RDX,AWD w/A-SpecPkg,4015
2018,Acura,RDX,AWD,3902
2018,Acura,RDX,FWD w/Technology/AcuraWatchPlusPkg,3772
2018,Acura,RDX,FWD w/TechnologyPkg,3768
2018,Acura,RDX,FWD w/AdvancePkg,3781
2018,Acura,RDX,FWD w/AcuraWatchPlus,3743
2018,Acura,RDX,FWD,3737
2018,Acura,RDX,AWD w/Technology/AcuraWatchPlusPkg,3935
2018,Acura,RDX,AWD w/TechnologyPkg,3931
2018,Acura,RDX,AWD w/AdvancePkg,3946
2018,Acura,RDX,AWD w/AcuraWatchPlus,3907
2016,Acura,RDX,AWD 4-Door,3902
2016,Acura,RDX,FWD 4-DoorTech/AcuraWatchPlusPkg,3774
2016,Acura,RDX,FWD 4-DoorTechPkg,3768
2016,Acura,RDX,FWD 4-DoorAdvancePkg,3781
2016,Acura,RDX,FWD 4-DoorAcuraWatchPlusPkg,3743
2016,Acura,RDX,FWD 4-Door,3737
2016,Acura,RDX,AWD 4-DoorTech/AcuraWatchPlusPkg,3936
2016,Acura,RDX,AWD 4-DoorTechPkg,3931
2016,Acura,RDX,AWD 4-DoorAdvancePkg,3946
2016,Acura,RDX,AWD 4-DoorAcuraWatchPlusPkg,3907
2015,Acura,RDX,AWD 4-Door,3838
2015,Acura,RDX,FWD 4-DoorTechPkg,3732
2015,Acura,RDX,FWD 4-Door,3717
2015,Acura,RDX,AWD 4-DoorTechPkg,3852
2014,Acura,RDX,AWD 4-Door,3838
2014,Acura,RDX,FWD 4-DoorTechPkg,3732
2014,Acura,RDX,FWD 4-Door,3717
2014,Acura,RDX,AWD 4-DoorTechPkg,3852
2016,Acura,MDX,FWD 4-Door,3960
2016,Acura,MDX,SH-AWD 4-Doorw/Tech/Entertainment/AcuraWatchPlus,4262
2016,Acura,MDX,SH-AWD 4-Doorw/Tech/Entertainment,4260
2016,Acura,MDX,SH-AWD 4-Doorw/Tech/AcuraWatchPlus,4213
2016,Acura,MDX,SH-AWD 4-Doorw/Tech,4211
2016,Acura,MDX,SH-AWD 4-Doorw/Advance/Entertainment,4319
2016,Acura,MDX,SH-AWD 4-Doorw/Advance,4246
2016,Acura,MDX,SH-AWD 4-Doorw/AcuraWatchPlus,4200
2016,Acura,MDX,SH-AWD 4-Door,4195
2016,Acura,MDX,FWD 4-Doorw/Tech/Entertainment/AcuraWatchPlus,4070
2016,Acura,MDX,FWD 4-Doorw/Tech/Entertainment,4067
2016,Acura,MDX,FWD 4-Doorw/Tech/AcuraWatchPlus,4004
2016,Acura,MDX,FWD 4-Doorw/Tech,4001
2016,Acura,MDX,FWD 4-Doorw/Advance/Entertainment,4246
2016,Acura,MDX,FWD 4-Doorw/Advance,4037
2016,Acura,MDX,FWD 4-Doorw/AcuraWatchPlus,3964
2015,Acura,MDX,FWD 4-Door,4025
2015,Acura,MDX,SH-AWD 4-DoorTech/EntertainmentPkg,4294
2015,Acura,MDX,SH-AWD 4-DoorTechPkg,4270
2015,Acura,MDX,SH-AWD 4-DoorAdvance/EntertainmentPkg,4332
2015,Acura,MDX,SH-AWD 4-Door,4255
2015,Acura,MDX,FWD 4-DoorTech/EntertainmentPkg,4063
2015,Acura,MDX,FWD 4-DoorTechPkg,4041
2015,Acura,MDX,FWD 4-DoorAdvance/EntertainmentPkg,4103
2014,Acura,MDX,FWD 4-Door,4025
2014,Acura,MDX,SH-AWD 4-DoorTech/EntertainmentPkg,4294
2014,Acura,MDX,SH-AWD 4-DoorTechPkg,4270
2014,Acura,MDX,SH-AWD 4-DoorAdvance/EntertainmentPkg,4332
2014,Acura,MDX,SH-AWD 4-Door,4255
2014,Acura,MDX,FWD 4-DoorTech/EntertainmentPkg,4063
2014,Acura,MDX,FWD 4-DoorTechPkg,4041
2014,Acura,MDX,FWD 4-DoorAdvance/EntertainmentPkg,4103
2009,Acura,MDX,AWD 4-Door,4548
2009,Acura,MDX,AWD 4-DoorTech/EntertainmentPkg,4588
