Year,Make,Model,Base Curb Weight (lbs)

1996,Buick,Regal,3258
1996,Chevrolet,Camaro,3307
1996,Chevrolet,Corvette,3307
1996,Chevrolet,Impala,4180
1996,Ford,Mustang,3068
1996,Ford,Taurus,3326
1996,Jeep,Cherokee,2876
1996,Lincoln,Continental,3911
1997,Acura,NSX,3069
1997,Audi,A4,2
1997,BMW,3-Series,2
1997,BMW,5-Series,3450
1997,BMW,7-Series,4255
1997,Chevrolet,Malibu,3051
1997,Honda,Accord,2855
1997,Honda,CR-V,3153
1997,Honda,Passport,3848
1997,Hyundai,Accent,2101
1997,Hyundai,Elantra,2458
1997,Hyundai,Sonata,2935
1997,Jeep,Grand,3582
1997,Jeep,Wrangler,3073
1997,Kia,Sportage,3170
1997,Land,Rover,4465
1997,Mazda,MX-5,2293
1997,Mitsubishi,Mirage,2127
1997,Nissan,Altima,2800
1997,Nissan,Maxima,3012
1997,Nissan,Pathfinder,3800
1997,Nissan,Sentra,2410
1997,Porsche,911,3064
1997,Subaru,Impreza,2600
1997,Subaru,Legacy,2905
1997,Toyota,4Runner,3440
1997,Toyota,Avalon,3263
1997,Toyota,Camry,2998
1997,Toyota,Corolla,2337
1997,Toyota,Land,4751
1997,Toyota,RAV4,2469
1997,Toyota,Supra,3210
1997,Volkswagen,Golf,2540
1997,Volkswagen,Jetta,2657
1997,Volkswagen,Passat,3009
1998,Subaru,Forester,3020
1998,Volkswagen,Beetle,2712
1998,Volvo,S90,3461
1998,Volvo,V90,3547
1999,Cadillac,Escalade,5572
1999,Lincoln,Navigator,5245
2000,Audi,A6,3638
2000,Audi,S4,3593
2000,Ford,Focus,2551
2000,Honda,Insight,1856
2000,Lexus,LX,5401
2001,Acura,MDX,4328
2001,BMW,X5,4519
2001,Ford,Escape,2991
2001,Hyundai,Santa,3494
2001,Kia,Optima,3263
2001,Kia,Rio,2242
2001,Mercedes-Benz,C,3310
2001,Toyota,Highlander,3485
2001,Toyota,Prius,2765
2001,Toyota,Sequoia,5070
2001,Volvo,S60,3230
2002,Aston,Martin,3969
2002,Dodge,Durango,4357
2002,Lexus,ES,3439
2002,Mercedes-Benz,SL,4125
2002,MINI,Cooper,2524
2003,BMW,Z4,2932
2003,Honda,Pilot,4416
2003,Kia,Sorento,4057
2003,Lexus,GX,4675
2003,Lexus,LS,3945
2003,Lincoln,Aviator,4834
2003,Mazda,MAZDA6,3042
2003,Mercedes-Benz,S,4160
